1.0,1.00,2.00,8.00,9.80,60.80,6.24,578.00,105.00,170.00,50.00,3,3,3,3,1,2,3
2.0,1.00,2.00,8.35,8.00,57.75,1.29,370.00,428.75,558.75,1.30,6,1,3,5,2,7,4
3.0,1.00,2.00,8.10,11.40,40.02,5.33,346.67,125.67,187.06,15.60,3,1,4,5,5,5,2
2.0,1.00,2.00,8.07,4.80,77.36,2.30,98.18,61.18,138.70,1.40,3,1,2,5,4,5,4
3.0,1.00,2.00,8.06,9.00,55.35,10.42,233.70,58.22,97.58,10.50,1,4,2,6,2,3,5
1.0,1.00,1.00,8.25,13.10,65.75,9.25,430.00,18.25,56.67,28.40,2,3,6,7,1,4,5
4.0,1.00,1.00,8.15,10.30,73.25,1.53,110.00,61.25,111.75,3.20,5,6,4,3,2,1,7
3.0,1.00,1.00,8.05,10.60,59.07,4.99,205.67,44.67,77.43,6.90,1,4,5,5,3,2,5
1.0,1.00,2.00,8.70,3.40,21.95,0.89,102.75,36.30,71.00,5.54,1,2,3,4,4,4,4
1.0,1.00,1.00,7.93,9.90,8.00,1.39,5.80,27.25,46.60,0.80,1,4,4,2,4,4,3
2.0,1.00,1.00,7.70,10.20,8.00,1.53,21.57,12.75,20.75,0.80,1,4,4,4,3,4,2
4.0,1.00,1.00,7.45,11.70,8.69,1.59,18.43,10.67,19.00,0.60,1,3,3,3,3,3,2
1.0,1.00,1.00,7.74,9.60,5.00,1.22,27.29,12.00,17.00,41.00,1,4,2,4,3,4,2
4.0,1.00,1.00,7.72,11.80,6.30,1.47,8.00,16.00,15.00,0.50,1,5,3,6,4,6,2
1.0,1.00,1.00,7.90,9.60,3.00,1.45,46.20,13.00,61.60,0.30,1,3,2,5,4,5,5
3.0,1.00,1.00,7.55,11.50,4.70,1.32,14.75,4.25,98.25,1.10,1,3,2,3,3,3,3
1.0,1.00,1.00,7.78,12.00,7.00,1.42,34.33,18.67,50.00,1.10,1,3,3,2,3,3,3
2.0,1.00,1.00,7.61,9.80,7.00,1.44,31.33,20.00,57.83,0.40,1,7,5,4,2,6,3
4.0,1.00,1.00,7.35,10.40,7.00,1.72,49.00,41.50,61.50,0.80,1,7,2,4,5,3,6
2.0,1.00,1.00,7.20,9.20,0.80,0.64,81.00,15.60,18.00,0.50,1,3,3,2,3,3,3
3.0,1.00,1.00,7.75,10.30,32.92,2.94,42.00,16.00,40.00,7.60,2,4,4,4,1,3,4
1.0,1.00,1.00,7.62,8.50,11.87,1.72,208.33,3.00,27.50,1.70,1,3,3,2,3,3,3
2.0,1.00,1.00,7.84,9.40,10.97,1.51,12.50,3.00,11.50,1.50,1,2,6,3,6,5,4
4.0,1.00,1.00,7.77,10.70,12.54,3.98,58.50,9.00,44.14,3.00,3,4,4,4,2,1,4
1.0,1.00,1.00,7.09,8.40,10.50,1.57,28.00,4.00,13.60,0.50,1,3,3,2,3,3,3
3.0,1.00,1.00,6.80,11.10,9.00,0.63,20.00,4.00,0.00,2.70,1,3,5,5,2,4,2
1.0,1.00,1.00,8.00,9.80,16.00,0.73,20.00,26.00,45.00,0.80,2,4,1,4,4,4,3
2.0,1.00,1.00,7.20,11.30,9.00,0.23,120.00,12.00,19.00,0.50,1,3,2,4,4,4,4
3.0,1.00,1.00,7.40,12.50,13.00,3.33,60.00,72.00,142.00,4.90,4,1,5,6,3,2,6
1.0,1.00,1.00,8.10,10.30,26.00,3.78,60.00,246.00,304.00,2.80,3,2,1,6,4,6,5
4.0,1.00,1.00,7.80,11.30,20.08,3.02,49.50,53.00,130.75,5.80,6,3,4,6,2,1,5
1.0,1.00,1.00,8.30,10.90,1.17,0.73,13.50,1.62,3.00,0.20,1,2,2,2,2,2,2
2.0,1.00,1.00,8.00,0.00,1.45,0.81,10.00,2.50,3.00,0.30,1,2,2,2,2,2,2
1.0,1.00,2.00,8.30,8.90,20.62,3.41,228.75,196.62,253.25,12.32,5,1,3,4,6,6,2
2.0,1.00,2.00,8.10,10.50,22.29,4.07,178.57,182.42,255.28,8.96,3,2,4,1,2,5,5
1.0,1.00,2.00,8.00,5.50,77.00,6.10,122.85,143.71,296.00,3.70,5,3,1,4,5,5,2
4.0,1.00,2.00,8.15,7.10,54.19,3.83,647.57,59.43,175.05,13.20,5,5,5,3,2,1,4
1.0,1.00,1.00,8.30,7.70,50.00,8.54,76.00,264.90,344.60,22.50,5,1,2,5,3,4,5
2.0,1.00,1.00,8.30,8.80,54.14,7.83,51.43,276.85,326.86,11.84,3,4,5,5,1,2,5
1.0,1.00,1.00,8.40,13.40,69.75,4.55,37.50,10.00,40.67,3.90,1,3,5,5,4,2,5
2.0,1.00,1.00,8.30,12.50,87.00,4.87,22.50,27.00,43.50,3.30,1,6,5,3,4,2,7
3.0,1.00,1.00,8.00,12.10,66.30,4.54,39.00,16.00,39.00,0.80,1,3,5,6,2,4,6
1.0,1.00,3.00,0.00,12.60,9.00,0.23,10.00,5.00,6.00,1.10,1,2,2,2,2,2,2
2.0,1.00,2.00,7.60,9.60,15.00,3.02,40.00,27.00,121.00,2.80,1,2,2,2,2,2,2
3.0,1.00,2.00,7.29,11.21,17.75,3.07,35.00,13.00,20.81,12.10,1,4,7,6,3,2,5
1.0,1.00,2.00,7.60,10.20,32.30,4.51,192.50,12.75,49.33,7.90,4,4,4,1,3,4,2
4.0,1.00,2.00,8.00,7.90,27.23,1.65,28.33,7.30,22.90,4.50,1,7,6,4,2,5,3
1.0,1.00,1.00,7.90,11.00,6.17,1.17,18.33,7.75,11.80,0.50,1,2,2,2,2,2,2
2.0,1.00,1.00,7.90,9.00,5.27,0.91,33.64,9.00,11.82,0.80,1,3,3,2,3,3,3
1.0,1.00,1.00,6.60,10.80,0.00,3.25,10.00,1.00,6.50,0.00,1,2,2,2,2,2,2
2.0,1.00,2.00,5.60,11.80,0.00,2.22,5.00,1.00,1.00,0.00,1,2,2,2,2,2,2
3.0,1.00,2.00,5.70,10.80,0.00,2.55,10.00,1.00,4.00,0.00,1,3,4,2,5,5,5
2.0,1.00,1.00,6.60,9.50,0.00,1.32,20.00,1.00,6.00,0.00,1,3,3,2,3,3,3
4.0,1.00,1.00,6.60,10.80,0.00,2.64,10.00,2.00,11.00,0.00,1,3,3,2,3,3,3
3.0,1.00,2.00,6.60,11.30,0.00,4.17,10.00,1.00,6.00,0.00,1,3,3,3,3,2,3
2.0,1.00,2.00,6.50,10.40,0.00,5.97,10.00,2.00,14.00,0.00,1,2,2,2,2,2,2
4.0,1.00,2.00,6.40,0.00,0.00,0.00,0.00,0.00,14.00,0.00,1,5,5,3,5,2,4
3.0,1.00,1.00,7.83,11.70,4.08,1.33,18.00,3.33,6.67,0.00,1,2,2,2,2,2,2
2.0,1.00,1.00,7.57,10.80,4.58,1.20,27.50,2.00,6.75,1.00,1,3,2,5,5,5,4
4.0,1.00,1.00,7.19,11.70,4.33,1.47,160.00,2.50,7.20,0.30,1,4,2,6,6,3,5
1.0,1.00,1.00,7.44,10.10,2.93,0.77,15.00,1.33,6.00,0.60,1,4,2,3,4,4,4
2.0,1.00,1.00,7.14,9.80,3.27,0.92,15.00,1.25,10.75,2.50,2,4,1,3,4,4,4
4.0,1.00,1.00,7.00,12.10,3.14,1.21,16.20,1.80,2.50,0.50,1,3,2,3,3,3,3
3.0,2.00,2.00,8.50,8.10,38.12,3.85,225.00,45.00,152.33,5.20,2,6,5,4,1,3,7
4.0,2.00,2.00,7.92,10.20,34.04,9.08,109.00,55.00,58.62,11.60,3,4,5,7,2,1,6
1.0,2.00,2.00,8.10,8.10,136.00,3.77,245.00,136.75,249.25,20.87,6,3,1,5,2,4,7
2.0,2.00,2.00,8.20,6.80,129.38,3.32,271.25,100.00,233.50,13.00,6,3,1,5,2,4,7
2.0,2.00,1.00,9.10,9.40,35.75,5.16,32.50,85.50,215.50,18.37,5,1,4,6,2,3,5
3.0,2.00,2.00,8.10,9.80,29.50,1.29,224.29,25.17,102.33,3.60,1,4,5,4,2,3,4
1.0,2.00,2.00,8.00,5.90,27.40,0.73,133.64,36.00,105.73,3.00,2,3,1,5,4,6,6
2.0,2.00,2.00,8.00,3.30,26.76,0.66,165.00,37.38,111.38,3.00,1,5,2,3,4,5,5
1.0,2.00,1.00,7.50,9.20,11.00,3.31,101.00,26.60,108.00,1.30,3,7,4,6,5,2,1
2.0,2.00,1.00,7.40,9.80,11.00,3.23,255.00,38.75,56.67,2.00,1,6,6,3,2,4,5
3.0,2.00,1.00,7.30,11.70,10.40,4.93,130.00,10.80,60.00,4.30,5,6,4,6,3,1,2
1.0,2.00,1.00,7.40,8.90,13.50,5.44,123.33,27.67,104.00,21.00,3,4,2,7,6,5,1
4.0,2.00,1.00,7.40,11.17,12.15,6.19,89.60,32.00,69.93,3.10,2,5,6,7,4,3,1
3.0,2.00,2.00,7.50,10.80,31.00,4.41,737.50,111.25,214.00,2.90,4,6,6,3,5,2,1
1.0,2.00,2.00,7.60,6.00,53.00,3.73,914.00,137.60,254.60,4.30,5,5,5,4,3,2,1
4.0,2.00,2.00,7.40,10.77,36.25,3.73,429.20,57.60,169.00,3.20,4,6,6,5,3,2,1
1.0,2.00,2.00,8.50,8.60,125.60,3.78,124.17,197.83,303.33,40.00,6,1,2,6,3,4,5
2.0,2.00,2.00,8.70,9.40,173.75,3.32,101.25,267.75,391.75,3.50,5,3,4,5,1,2,5
4.0,2.00,2.00,8.10,10.70,94.41,4.70,153.00,191.75,265.25,7.30,5,3,4,5,2,1,5
