0,2,355,0,0,0,0,0,0,0,2,8,10,3,4,1,5,9,7,6
1,1,214,26,6,1,26,6,1,0,1,8,6,4,10,9,3,5,7,2
1,2,363,29,6,1,26,6,1,1,2,8,3,4,6,7,10,1,5,9
0,4,395,40,9,1,26,6,1,1,4,7,5,6,1,2,8,3,9,10
1,1,707,26,6,1,36,8,1,1,4,10,7,5,9,3,2,8,1,6
1,2,276,12,3,0,13,3,0,1,4,6,2,10,7,5,1,9,8,3
0,3,241,0,0,0,0,0,0,0,3,4,5,7,1,8,10,2,6,9
1,2,196,0,0,0,13,3,0,1,5,8,7,2,9,10,1,3,4,6
0,2,336,42,9,1,39,9,1,1,5,9,1,2,6,7,8,3,4,10
1,0,308,18,5,0,18,5,0,0,1,3,6,2,9,10,5,8,4,7
1,1,623,27,6,1,27,6,1,0,7,10,4,3,8,6,5,1,2,9
1,1,416,13,3,0,13,3,0,0,9,3,5,4,1,6,7,2,8,10
1,2,191,26,6,1,26,6,1,0,5,4,8,6,2,3,10,1,7,9
0,3,195,16,3,0,16,3,0,0,3,2,6,1,10,9,8,5,4,7
1,2,234,10,3,0,8,3,0,1,4,3,1,10,5,6,9,2,8,7
0,2,192,18,5,0,13,3,0,1,5,6,7,3,2,4,8,1,9,10
1,2,431,31,7,1,11,3,0,1,3,10,9,1,2,4,6,7,8,5
0,2,222,40,9,1,12,3,0,1,5,3,4,6,2,9,7,1,8,10
0,2,296,10,3,0,10,3,0,0,3,4,5,8,6,2,10,1,7,9
1,2,380,32,7,1,14,3,0,1,4,7,8,5,3,1,10,2,6,9
0,1,238,13,3,0,13,3,0,0,3,6,5,8,1,4,9,2,7,10
0,3,378,15,4,0,15,4,0,0,5,6,10,2,4,3,7,1,8,9
0,3,289,40,9,1,40,9,1,0,2,1,5,9,10,6,4,3,7,8
0,3,273,30,7,1,30,7,1,0,4,8,5,6,3,1,9,2,7,10
0,2,502,4,1,0,14,3,0,1,2,7,1,10,9,8,3,5,4,6
0,3,329,39,9,1,39,9,1,0,2,5,6,8,4,3,9,1,7,10
0,2,296,0,0,0,14,3,0,1,3,2,8,4,9,1,5,7,6,10
1,2,212,13,3,0,13,3,0,0,4,9,2,7,5,3,10,1,6,8
1,2,513,25,6,1,25,6,1,0,9,4,5,3,10,1,8,2,6,7
0,2,282,11,3,0,12,3,0,1,5,6,4,3,2,7,9,1,8,10
1,1,219,13,3,0,13,3,0,0,7,8,3,1,10,4,5,2,6,9
1,2,446,13,3,0,13,3,0,0,4,2,3,10,8,6,7,1,5,9
0,1,260,11,3,0,11,3,0,0,2,4,6,9,3,5,7,1,8,10
0,5,446,40,9,1,40,9,1,0,5,9,1,10,4,2,3,8,7,6
0,4,390,35,8,1,35,8,1,0,5,3,2,7,6,10,8,1,4,9
0,3,421,30,7,1,30,7,1,0,6,3,5,8,4,1,10,2,7,9
0,1,300,26,6,1,25,6,1,1,1,5,4,3,6,7,9,2,8,10
1,2,418,29,6,1,29,6,1,0,6,5,2,8,10,4,3,1,7,9
1,3,310,14,3,0,43,9,1,1,8,2,3,7,1,5,9,4,6,10
1,3,259,24,5,0,24,5,0,0,6,1,2,7,10,9,5,4,3,8
1,2,310,0,0,0,0,0,0,0,2,7,10,5,4,1,3,9,8,6
0,1,246,23,6,1,23,6,1,0,2,3,4,6,10,8,7,1,5,9
0,2,305,7,2,0,7,2,0,0,4,9,3,5,2,7,10,1,6,8
0,3,249,30,7,1,30,7,1,0,8,6,5,9,4,3,7,2,1,10
1,3,391,4,1,0,4,1,0,0,2,6,7,3,4,5,10,8,1,9
0,0,264,13,3,0,13,3,0,0,4,9,2,5,3,8,7,1,6,10
0,3,268,26,6,1,26,6,1,0,7,3,10,6,4,5,8,1,2,9
1,2,251,34,7,1,31,7,1,1,1,4,9,2,8,10,7,3,5,6
0,1,286,13,3,0,13,3,0,0,2,1,5,3,10,4,9,6,7,8
1,0,285,17,4,0,17,4,0,0,4,8,1,9,10,3,7,2,6,5
1,1,326,24,5,0,24,5,0,0,6,8,2,5,4,3,9,1,7,10
1,1,319,13,3,0,13,3,0,0,3,2,9,5,4,10,1,7,6,8
0,2,227,31,7,1,31,7,1,0,6,7,4,5,1,3,8,2,9,10
1,2,291,32,7,1,25,6,1,1,4,9,1,3,10,7,6,5,2,8
0,1,209,35,8,1,39,9,1,1,7,4,3,5,1,6,10,2,8,9
0,3,288,36,8,1,24,5,0,1,8,3,2,4,6,7,10,1,5,9
0,3,248,18,5,0,18,5,0,0,10,3,4,8,1,9,6,2,5,7
1,2,331,13,3,0,14,3,0,1,3,7,6,9,10,1,2,5,8,4
0,2,287,31,7,1,14,3,0,1,3,1,6,8,7,2,5,4,9,10
0,1,252,26,6,1,26,6,1,0,7,1,5,6,10,3,9,2,4,8
0,1,206,42,9,1,42,9,1,0,7,2,6,5,1,3,9,4,8,10
1,1,294,19,5,0,13,3,0,1,3,2,6,9,10,8,5,1,7,4
1,1,272,13,3,0,31,7,1,1,7,8,2,6,9,4,5,1,3,10
1,3,214,43,9,1,45,9,1,1,5,4,7,3,8,10,6,1,2,9
1,1,362,11,3,0,13,3,0,1,3,1,6,5,4,10,2,9,8,7
0,2,413,39,9,1,13,3,0,1,3,7,1,4,6,5,10,2,8,9
0,2,356,46,10,1,46,10,1,0,7,5,2,8,3,4,9,1,6,10
1,4,412,18,5,0,26,6,1,1,9,1,6,5,4,3,7,2,10,8
0,3,281,13,3,0,13,3,0,0,9,1,2,5,10,8,3,4,6,7
0,2,239,29,6,1,18,5,0,1,6,1,8,9,7,2,5,3,4,10
0,2,258,13,3,0,10,3,0,1,8,3,2,9,7,5,6,1,4,10
1,2,223,0,0,0,18,5,0,1,4,9,7,5,2,10,3,1,6,8
1,3,383,26,6,1,29,6,1,1,3,8,1,6,9,10,7,4,2,5
0,2,303,29,6,1,29,6,1,0,7,1,3,10,6,4,2,5,9,8
1,2,191,11,3,0,11,3,0,0,2,10,5,3,1,7,8,4,6,9
1,1,355,4,1,0,12,3,0,1,1,4,6,7,2,9,10,5,3,8
1,2,496,14,3,0,14,3,0,0,3,2,4,7,6,10,8,1,5,9
0,1,352,13,3,0,13,3,0,0,1,4,3,8,7,9,5,2,6,10
1,0,245,26,6,1,26,6,1,0,2,6,4,3,9,8,10,1,5,7
0,2,399,9,3,0,9,3,0,0,5,4,6,8,2,3,9,1,7,10
0,4,290,25,6,1,18,5,0,1,1,4,10,2,8,9,5,7,6,3
1,1,222,30,7,1,12,3,0,1,7,8,6,4,9,3,5,10,2,1
1,0,328,29,6,1,29,6,1,0,8,9,4,7,10,5,6,1,2,3
1,1,326,29,6,1,33,7,1,1,4,6,3,1,9,10,7,2,5,8
1,2,320,1,1,0,1,1,0,0,6,8,2,5,10,1,9,4,3,7
0,0,197,13,3,0,13,3,0,0,4,5,2,7,8,1,6,3,9,10
0,2,295,11,3,0,9,3,0,1,6,1,7,5,2,3,9,4,8,10
1,2,421,14,3,0,14,3,0,0,9,3,4,10,5,6,7,2,1,8
0,4,316,13,3,0,13,3,0,0,7,10,4,6,2,3,8,1,5,9
